date,instrument,direction,inside_day,b5_origin,rev10,rev20,rev30,rev40,dist_atr,vol_ratio,prevday_body,poc_dist_atr,on_ret_pct
2021-02-05,SPY,1,0,2,2,1,1,1,0.2470058,0.7597034,0.9132948,3.156986,0.538595
2021-02-08,SPY,1,0,2,2,1,1,1,0.186195,0.6545195,-0.2821159,3.606597,0.4101003
2021-02-10,SPY,1,0,2,2,2,2,2,0.1578422,0.6459459,0.4069767,1.814186,0.4740551
2021-02-16,SPY,1,0,2,2,2,1,1,0.230315,0.8855754,0.8846154,0.6811024,0.3616544
2021-02-23,SPY,-1,0,2,0,2,2,2,1.301866,2.225286,-0.01041667,-2.420171,-0.596853
2021-03-11,SPY,1,0,2,0,0,0,1,0.05827404,1.02189,-0.00310559,0.3022119,0.6827866
2021-03-16,SPY,1,0,2,2,2,1,1,0.0746758,0.4502898,0.4327234,1.045461,0.1639716
2021-03-25,SPY,-1,0,2,2,0,2,2,0.2185383,1.355907,-0.6451613,-1.004193,-0.3948183
2021-04-01,SPY,1,0,2,0,0,1,1,0.09302689,1.285604,0.3677298,0.5734834,0.5071531
2021-04-05,SPY,1,0,2,0,0,1,1,0.7108286,1.105335,0.9190283,0.9188237,0.7189037
2021-04-08,SPY,1,1,2,0,1,1,1,0.02901554,0.8824248,0.4266667,0.2142686,0.3271108
2021-04-09,SPY,1,0,1,0,0,1,1,0.06121399,0.6272325,0.3649635,0.5833333,-0.01958288
2021-04-16,SPY,1,0,2,0,1,1,1,0.1649463,0.9389752,0.8421053,1.554582,0.3414529
2021-04-29,SPY,1,0,2,2,2,2,1,0.3213308,1.187827,-0.2085308,0.795957,0.7139435
2021-05-21,SPY,1,0,1,2,2,2,1,0.005436541,1.064523,0.7090909,0.4023041,0.3732421
2021-06-01,SPY,1,0,2,2,2,1,1,0.06901551,0.9860854,-0.6780822,0.4648398,0.6094658
2021-06-03,SPY,-1,1,1,2,2,2,1,0.1078054,0.9295562,-0.01030928,-0.6517326,-0.5971499
2021-06-10,SPY,1,0,1,2,2,1,1,0.2806128,0.927592,-0.8152174,0.4902661,0.3106842
2021-06-18,SPY,-1,0,2,0,0,1,1,0.590093,2.358013,0.0952381,-2.114351,-1.139891
2021-06-25,SPY,1,0,2,0,1,1,1,0.08008801,1.028156,0.1827957,0.7423542,0.2023053
2021-06-29,SPY,1,0,2,1,1,1,1,0.1283542,0.824957,0.1931818,0.4570662,0.09357382
2021-07-01,SPY,1,0,2,0,1,1,1,0.1667835,0.8846892,0.556962,0.8731605,0.1915619
2021-07-02,SPY,1,0,2,0,0,1,1,0.3072,0.9712475,0.8611111,1.5872,0.288084
2021-07-19,SPY,-1,0,2,0,0,0,0,0.2961452,2.421712,-0.9161793,-2.904327,-1.191635
2021-08-06,SPY,1,0,2,1,1,1,1,0.2020997,0.7516899,0.7817259,1.022747,0.08828323
2021-08-11,SPY,1,0,2,2,1,1,1,0.06182532,0.7026857,0.03846154,0.3846909,0.2462275
2021-08-13,SPY,1,0,2,1,1,1,1,0.08345476,0.4800479,0.5857418,1.105312,0.09885197
2021-08-19,SPY,-1,0,2,2,2,2,1,0.3706177,2.007432,-0.6573181,-1.866444,-0.6557676
2021-08-30,SPY,1,0,2,0,0,1,1,0.06650831,0.7159363,0.8774373,0.8676312,0.1621321
2021-09-02,SPY,1,0,2,2,1,1,1,0.1434365,0.8800414,-0.5111821,0.5946638,0.3386454
2021-09-20,SPY,-1,0,2,0,0,0,0,1.303877,3.08513,-0.816092,-2.401008,-1.470322
2021-10-15,SPY,1,0,2,0,1,1,1,0.3083299,0.8183631,0.8431373,1.594695,0.519774
2021-10-19,SPY,1,0,2,0,0,1,1,0.171843,0.6278825,0.7453271,2.367615,0.3868602
2021-10-20,SPY,1,0,2,0,1,1,1,0.09178057,0.5490484,0.7107438,2.827881,0.1153914
2021-10-22,SPY,1,0,1,2,2,1,1,0.04475443,0.6381575,0.7157058,0.3956699,-0.0970039
2021-10-26,SPY,1,0,2,2,2,1,1,0.3934641,0.6833275,0.3732194,1.262745,0.3731753
2021-11-01,SPY,1,0,2,2,1,1,1,0.0920793,1.052421,0.8375,0.6077234,0.2373435
2021-11-02,SPY,1,0,1,0,1,1,1,0.016029,0.6418325,-0.1204819,0.8441943,0.0456482
2021-11-04,SPY,1,0,2,0,1,1,1,0.1611082,0.8561285,0.7911833,2.410655,0.142021
2021-11-05,SPY,1,0,2,2,2,2,1,1.010452,1.201577,0.765,3.413357,0.5225847
2021-11-22,SPY,1,0,1,0,2,2,2,0.2691684,1.223364,-0.2962963,0.8010192,0.4180085
2021-12-16,SPY,1,0,2,0,2,2,2,0.03735658,1.098026,0.7059406,0.3611136,0.4249894
2021-12-17,SPY,-1,0,1,2,2,2,2,0.09904447,2.452424,-0.7630273,-1.147372,-1.067639
2021-12-20,SPY,-1,0,2,0,0,0,1,0.4928858,1.411914,-0.2406015,-1.173477,-1.187292
2021-12-27,SPY,1,0,1,0,0,0,0,0.02268921,0.5376744,0.515493,0.36454,0.3166171
2021-12-28,SPY,1,0,2,2,1,1,1,0.1066435,0.5513941,0.9754717,2.225801,0.1131459
